"pilot_id","source_id","title","priority_tier","input_fulltext_id","source_file_sha256","parse_quality","parser_version","auto_fulltext_status","reviewer_fulltext_status","review_decision","review_reason","reviewer_notes","candidate_extract_approved","formal_extract_approved","needs_review","reviewer","reviewer_type","reviewed_at"
"fulltext_pilot_v1","P003_Pan_2025_FeMo_MgO_Methane_CNT","Tunable synthesis of carbon nanotubes via methane catalytic pyrolysis by adjusting Mo incorporation in Fe/MgO","A","FT_C98C609B9C8A28FC42EF","064eb3de44b04aaea9de96d60dce730c545b28150888824c4407c32de384bb62","partial","cnt_section_rules_v6","candidate_extract","candidate_extract","accept_auto","Original Fe/MgO-Mo methane catalytic pyrolysis study reports catalyst composition, preparation, reaction conditions, yields and CNT characterization.","Clear original CNT synthesis experiment.","1","0","1","gpt-5-codex-high-tier-llm","high_tier_llm_benchmark_reviewer","2026-07-16T02:19:14Z"
"fulltext_pilot_v1","P005_Saconsint_2023_NiMo_Carbide_Biogas_CNT","Development of Ni-Mo carbide catalyst for production of syngas and CNTs by dry reforming of biogas","A","FT_079B7A9ACB22556E585F","24784de4ec30ba595906818cf304c7c9f9c0cf2412bc6365a7c280738d7ddc92","good","cnt_section_rules_v6","candidate_extract","candidate_extract","accept_auto","Original Ni-Mo carbide dry-reforming study reports catalyst preparation, activation/reaction program, syngas/CNT outcomes and characterization.","Clear original CNT-producing experiment; yield identity requires review.","1","0","1","gpt-5-codex-high-tier-llm","high_tier_llm_benchmark_reviewer","2026-07-16T02:19:14Z"
"fulltext_pilot_v1","P006_Saetang_2024_NiMo_MgO_Biogas_CNT","Simultaneous production of syngas and carbon nanotubes from CO2/CH4 mixture over high-performance NiMo/MgO catalyst","A","FT_D278DF7BA3D1CAD4A323","2ded82b09377b14fc6a464fd35b4eaa666d98ca2610ac9a0fbd7229e6e2742f2","good","cnt_section_rules_v6","candidate_extract","candidate_extract","accept_auto","Original NiMo/MgO CO2/CH4 study reports catalyst variants, process conditions, syngas/CNT results and characterization.","Clear original CNT-producing experiment; product-mixture caveats remain needs_review.","1","0","1","gpt-5-codex-high-tier-llm","high_tier_llm_benchmark_reviewer","2026-07-16T02:19:14Z"
"fulltext_pilot_v1","P002_Chotmunkhongsin_2023_FeMo_MgO_H2_MWCNT","Synthesis of MWCNTs by chemical vapor deposition of methane using FeMo/MgO catalyst: role of hydrogen and kinetic study","A","FT_BFF0A9CB11B9C782EF5B","4eb86a0991b916e259a6e7e7b00d7575e61274c5a2a6b40da91fe25f859d34fe","good","cnt_section_rules_v6","candidate_extract","candidate_extract","accept_auto","Original methane CVD kinetic study reports FeMo/MgO catalyst, hydrogen variation, staged gas/temperature conditions, yields and MWCNT characterization.","Clear original CNT synthesis experiment.","1","0","1","gpt-5-codex-high-tier-llm","high_tier_llm_benchmark_reviewer","2026-07-16T02:19:14Z"
"fulltext_pilot_v1","P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT","Development of high-performance nickel-based catalysts for production of hydrogen and carbon nanotubes from biogas","A","FT_0FA5FA6609A7C1613758","b8c91dc2e5d2145553bd05cb14326cd493a2fad57daa86110864f4c2c529943c","good","cnt_section_rules_v6","candidate_extract","candidate_extract","accept_auto","Original biogas catalytic study reports supported multimetal catalyst variants, preparation, reaction conditions, syngas/CNT outcomes and characterization.","Clear original CNT-producing experiment; product-mixture caveats remain needs_review.","1","0","1","gpt-5-codex-high-tier-llm","high_tier_llm_benchmark_reviewer","2026-07-16T02:19:14Z"
"fulltext_pilot_v1","LIT_3D8F9EFA937173D0","Decomposition of methane over alumina supported Fe and Ni–Fe bimetallic catalyst: Effect of preparation procedure and calcination temperature","A","FT_A3863AA0596CD1E55554","980d716919cc110c8dcdd7bba8df4469b41917949e7eaa38e20fee2b0b98ba54","good","cnt_section_rules_v6","candidate_extract","candidate_extract","accept_auto","Original methane decomposition study compares Fe and Ni-Fe catalysts across preparation and calcination conditions with reaction and CNT characterization results.","Clear multi-condition CNT-producing experiment.","1","0","1","gpt-5-codex-high-tier-llm","high_tier_llm_benchmark_reviewer","2026-07-16T02:42:48Z"
"fulltext_pilot_v1","LIT_57A5BA30642FEA0F","Potential of Acid-Activated Bentonite and SO3H-Functionalized MWCNTs for Biodiesel Production From Residual Olive Oil Under Biorefinery Scheme","A","FT_4C08378BFE2DA4C522B7","952c6da22d578ae0c3851d8cbc55baa14abb64ee54aeefd6beb0a304518b1df0","good","cnt_section_rules_v6","insufficient_experimental_evidence","candidate_extract","override_auto","Although the main topic is biodiesel, the paper explicitly reports methane CVD of MWCNTs over Co-Mo/MgO with temperature, pressure, time, CH4/H2 flows, purification and TEM/FTIR evidence.","Embedded CNT synthesis run is extractable; automatic section detector missed it because of two-column text order.","1","0","1","gpt-5-codex-high-tier-llm","high_tier_llm_benchmark_reviewer","2026-07-16T02:19:14Z"
"fulltext_pilot_v1","LIT_AB19A8D536DD7DF2","Evaluation of highly active and stable SiO2 supported Fe-based catalysts for the catalytic methane decomposition into COx free hydrogen and CNTs","A","FT_98466D3CBEBA1BBB80B2","569e5348c49a65d69e7b65444c05a95a14a691a6acb845c6416153d7f95aff0d","good","cnt_section_rules_v6","insufficient_experimental_evidence","candidate_extract","override_auto","Full text contains a Materials and methods section with solution-combustion synthesis of Fe/SiO2 catalysts, methane decomposition reactor conditions, conversion, carbon yield and CNT characterization.","Automatic section segmentation missed the methods heading because two columns interleaved.","1","0","1","gpt-5-codex-high-tier-llm","high_tier_llm_benchmark_reviewer","2026-07-16T02:42:48Z"
"fulltext_pilot_v1","LIT_849AD7FB325763D1","Growth of few-wall carbon nanotubes with narrow diameter distribution over Fe-Mo-MgO catalyst by methane/acetylene catalytic decomposition","A","FT_0E75D8216EE22AC21599","2016a474a858c54a2e2aa3c5296b151dbf14318dea1a258abf889ec398451650","partial","cnt_section_rules_v6","candidate_extract","candidate_extract","accept_auto","Original Fe-Mo-MgO methane/acetylene catalytic decomposition study reports catalyst preparation, pressure, feed program, temperature, yield and FW-CNT characterization.","Clear original CNT synthesis experiment.","1","0","1","gpt-5-codex-high-tier-llm","high_tier_llm_benchmark_reviewer","2026-07-16T02:19:14Z"
"fulltext_pilot_v1","LIT_3D2FAA624663FA97","Synthesis of high-purity carbon nanotubes over alumina and silica supported bimetallic catalysts","A","FT_7841033F3D6B0D44E6CD","1e9b942be3244ad6e3c12d4c1a49d31ad87db274ed36e0eb598f1950c7be3cd4","good","cnt_section_rules_v6","candidate_extract","candidate_extract","accept_auto","Original ethylene CCVD study reports Fe/Co/Ni bimetallic catalyst preparation, calcination/reduction, horizontal reactor conditions, purification, yield and characterization.","Clear original CNT synthesis experiment.","1","0","1","gpt-5-codex-high-tier-llm","high_tier_llm_benchmark_reviewer","2026-07-16T02:42:48Z"
